epoch,train_loss,val_loss,val_micro_f1,val_macro_f1,lr,weight_decay,batch_size,image_size,threshold
1,0.5270103526896748,0.33701194021484293,0.7733656764030457,0.7580153942108154,1e-05,1e-05,64,224,0.5
2,0.2566818126426198,0.2043833888120856,0.8179848194122314,0.7938377857208252,1e-05,1e-05,64,224,0.5
3,0.177765472316754,0.15939475966480848,0.8389068841934204,0.8141127228736877,1e-05,1e-05,64,224,0.5
4,0.14289725459291153,0.13992894573373743,0.8515875935554504,0.8309009671211243,1e-05,1e-05,64,224,0.5
5,0.12191700672474053,0.1282917442496646,0.859480619430542,0.8423709869384766,1e-05,1e-05,64,224,0.5
6,0.10490271516363978,0.11943269989891428,0.8666900992393494,0.8504111766815186,1e-05,1e-05,64,224,0.5
7,0.09149258526482802,0.11467777947513703,0.8710411190986633,0.8541348576545715,1e-05,1e-05,64,224,0.5
8,0.07801001174027868,0.11213052540431083,0.8766120672225952,0.8624193668365479,1e-05,1e-05,64,224,0.5
9,0.06686439054225471,0.11124651880938166,0.8786509037017822,0.8635921478271484,1e-05,1e-05,64,224,0.5
10,0.05465846772242686,0.11332610979916158,0.8751733899116516,0.8569106459617615,1e-05,1e-05,64,224,0.5
